,question,answers
4960,Why is it believed that Denmark became Christian?,"It is believed that Denmark became Christian for political reasons so as not to get invaded by the rising Christian power in Europe, Germania, which was an important trading area for the Danes."
4961,Where was the 15th UNFCCC Converence held?,"""At the 15th UNFCCC Conference of the Parties, held in 2009 at Copenhagen, several UNFCCC Parties produced the Copenhagen Accord."
4962,How can you advance a ball in water polo?,"Players can move the ball by throwing it to a teammate or swimming with the ball in front of them (""dribbling"")."
4963,What type of radio stations was the song sent to after the album was released?,"After the album's release, many promotional singles were released; while other songs were sent to Christian airplay radio stations, ""All I Want for Christmas Is You"" was sent to pop and Top 40 channels."
4964,In what year was George Michael cleared of his charged?,In 2010 George Michael was publicly cleared of all charges.
4966,Who's 1960 album featured a Pollock painting as its cover artwork?,"In 1960, Ornette Coleman's album """" featured a Pollock painting as its cover artwork."
4967,Which artists appear on the Despicable Me soundtrack?,"""Despicable Me: Original Motion Picture Soundtrack"" is the soundtrack to the film of the same name, and it was released on July 6, 2010."
4968,What is the Hockney-Falco thesis?,"In 2001, British artist David Hockney published the book ""Secret Knowledge: Rediscovering the Lost Techniques of the Old Masters"", in which he argued that Vermeer - among other Renaissance artists including Hans Holbein and Diego Velázquez - used optics, and specifically some combination of curved mirrors, camera obscura and camera lucida, to achieve precise positioning in their compositions."
4969,How many stars did Peter Howell award Kung Fu Panda?,"Peter Howell of ""The Toronto Star"" awarded the film two and a half stars, considering it to have a ""lack of story"" that ""frequently manages to amuse, if not entirely to delight""."
4970,How long do traditional radiation treatments for cancer last?,"Some doctors say an advantage to stereotactic treatments are they deliver the right amount of radiation to the cancer in a shorter amount of time than traditional treatments, which can often take six to 11 weeks."
4971,When did  Disney's Hollywood Studios open?,"When the park opened in 1989, the studio/production facilities housed two major components, the first of which was Walt Disney Feature Animation Florida, where Disney produced a number of projects, including ""Mulan"", ""Lilo & Stitch"", ""Brother Bear"", and sequences from other 1990s-early 2000s Disney animated features."
4972,"If a golfer earns money on the sport, what are they prohibited from doing?","Essentially, anybody who has ever received payment or compensation for giving instruction, or played golf for money, is not considered an amateur and may not participate in competitions limited solely to amateurs."
4973,Does Greys Anatomy have a high amount of viewers?,"""Greys Anatomy"" has received high viewership and ratings since its debut."
4974,What was Lots-O Huggin Bear called in Japan?,"A Japanese version of the commercial was also released online, with the name ""Lots-O'-Huggin Bear"" replaced with ""Little Hug-Hug Bear"" (Japanese:?????????/""Hagu Hagu Beya-Chan"")."
4975,"In UK countries, what is known as pudding?","In the United Kingdom and most Commonwealth countries, ""pudding"" can be used to describe both sweet and savory dishes."
4977,Which two songwriters make up the duo Espionage?,"For the first single from its forthcoming ""California 37,"" Train returns to the Espionage, the Norwegian songwriting and production duo of Espen Lind and Amund Bjorklund that helped the group put together its 2010 comeback smash ""Hey Soul Sister."""
4978,Who is the British artist who created some of the earliest painting of Victoria Falls?,"Other early European visitors included Portuguese explorer Serpa Pinto, Czech explorer Emil Holub, who made the first detailed plan of the falls and its surroundings in 1875 (published in 1880), and British artist Thomas Baines, who executed some of the earliest paintings of the falls."
4979,In which season is Luge played?,"Though luge is a winter sport, it requires daily, year-round training."
4980,Rebrandnt's practice of singinig his work with his first name was inspired by what artists?,"His practice of signing his work with his first name, later followed by Vincent van Gogh, was probably inspired by Raphael, Leonardo da Vinci and Michelangelo who, then as now, were referred to by their first names alone."
4982,Where is the Munch Museum located?,"The conserved works went back on display on 23 May 2008, when the exhibition ""Scream and Madonna — Revisited"" at the Munch Museum in Oslo displayed the paintings together."
4983,Where is the Radio Broadcast Center building located at?,Hollywood is also home to the world famous state of the art Radio Broadcast Center.
4984,How many states are in Germany?,"Germany comprises sixteen states which are collectively referred to as ""Länder""."
4985,who started modern ethology?,"In one sense, the first modern ethologist was Charles Darwin, whose book, ""The Expression of the Emotions in Man and Animals,"" influenced many ethologists to come."
4986,What is the most common type of microscope?,The most common type of microscope (and the first invented) is the optical microscope.
4987,How much was America's down payment on the Louisiana Purchase?,"The American government used $3 million in gold as a down payment, and issued bonds for the balance to pay France for the purchase."
4988,What components of cheese helps prevent tooth decy?,"Some studies claim that cheddar, mozzarella, Swiss and American cheeses can help to prevent tooth decay."
4989,"When did the Wright brothers make the famous flight at Kitty Hawk, North Carolina?","Airplane inventors Wilbur and Orville Wright are famed for making the first controlled, powered, heavier-than-air flights on 17 December 1903 at Kitty Hawk, North Carolina."
